
✗ Errors (1418)
| Check               | Artifact                                                                                                | Message                                                                                                                                                                                                                                                                                                            | Suggestion                                                                                                                                                                 |
| ------------------- | ------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/__init__.py.md                                                         | [[package initializer]] does not resolve                                                                                                                                                                                                                                                                           | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/__init__.py.md                                                         | [[semantic versioning]] does not resolve                                                                                                                                                                                                                                                                           | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/__init__.py.md                                                         | [[module-level docstring]] does not resolve                                                                                                                                                                                                                                                                        | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/__init__.py.md                                                         | [[package metadata]] does not resolve                                                                                                                                                                                                                                                                              | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/__init__.py.md                                                         | [[public API]] does not resolve                                                                                                                                                                                                                                                                                    | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/__main__.py.md                                                         | [[module entry point]] does not resolve                                                                                                                                                                                                                                                                            | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/__main__.py.md                                                         | [[python -m]] does not resolve                                                                                                                                                                                                                                                                                     | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/__main__.py.md                                                         | [[CLI]] does not resolve                                                                                                                                                                                                                                                                                           | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/__main__.py.md                                                         | [[console_scripts]] does not resolve                                                                                                                                                                                                                                                                               | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/__main__.py.md                                                         | [[side effects]] does not resolve                                                                                                                                                                                                                                                                                  | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/__main__.py.md                                                         | [[agent-facing CLI]] does not resolve                                                                                                                                                                                                                                                                              | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/__init__.py.md                                               | [[ArchivistService]] does not resolve                                                                                                                                                                                                                                                                              | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/__init__.py.md                                               | [[DesignFileRequest]] does not resolve                                                                                                                                                                                                                                                                             | -                                                                                                                                                                          |
